%% LaTeX2e file `mydata.dat'
%% generated by the `filecontents' environment
%% from source `phon_plot_9' on 2020/08/26.
%%
x        y       label   angle
2400     240     i       120
2300     390     e       90
2100     235     y       270
1900     370     {\o}    90
1900     610     E       90
1710     585     {\oe}   270
1610     850     a       270
1530     820     {\ae}   0
940      750     A       90
760      700     6       90
1170     600     v       90
700      500     O       90
1310     460     Y       90
640      360     o       90
595      250     u       90
% 1390     300     ɯ       90
